gene_accession,CAS09e_t2_M_AB,CAS08e_t2_M_AB,CAS07e_t2_M_AB,CAS09u_t2_M_AB,CAS08u_t2_M_AB,CAS07u_t2_M_AB,CAS10u_t2_M_AB,CAS06u_t2_M_AB,CAS10e_t2_M_AB,CAS06e_t2_M_AB
MEG_7113/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,0,2,0,7,5,4,0,0
MEG_7821/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,32,10,16,23,23,12,0,14,18,0
MEG_12/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,178,151,176,186,223,209,137,206,164,152
MEG_6094/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,55,52,79,87,45,77,64,92,61,77
MEG_399/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/ACRA,0,0,0,27,0,0,6,22,40,19
MEG_3001/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,3,0,0,0,0,3,0
MEG_5353/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,15,15,35,4,0,14,12,24,21
MEG_6117/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,42,0,50,55,0,60,45,0,39,0
MEG_7823/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/YFEA,37,0,0,14,0,14,9,14,0,0
MEG_7198/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETS,0,0,9,0,0,0,8,0,0,0
MEG_4285/Drugs/betalactams/Mutant_porin_proteins/OMPD,0,19,51,45,0,0,44,45,33,0
MEG_4004/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODB,0,3,0,6,0,2,0,0,10,0
MEG_2992/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,20,20,0,0,0,0,0
MEG_3755/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTH,0,10,3,18,0,10,4,6,45,9
MEG_7016/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETA,0,0,15,0,0,0,18,0,8,0
MEG_7317/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,223,93,119,345,158,247,248,113,276,230
MEG_8722/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/TVAB,40,0,0,0,0,0,0,38,0,0
MEG_6138/Drugs/Glycopeptides/Vancomycin_resistant_mutation/RPOC/RequiresSNPConfirmation,309,271,219,391,311,413,311,277,275,291
MEG_7901/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,0,0,0,0,0,0,2
MEG_4358/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,10,5,12,0,6,0,6,0,0
MEG_5348/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,19,15,14,0,0,31,18,29,32
MEG_3761/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDTM,0,0,2,0,0,0,0,5,15,0
MEG_1047/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,0,0,0,0,22,0,0,0,0,0
MEG_7147/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,0,0,0,0,0,0,15,0,0,0
MEG_7068/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,0,0,4,12,13,14,0,6,0,0
MEG_4346/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,12,0,24,0,5,0,9,0,0
MEG_458/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,2,0,0,0,0,0,0
MEG_2686/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,0,3,0,0,0,0,0,0
MEG_420/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,7,0,0
MEG_3231/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,107,53,87,135,105,118,90,128,0,87
MEG_6729/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,0,0,0,0,0
MEG_7065/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,13,6,15,9,17,24,17,4,28,0
MEG_5425/Metals/Copper_resistance/Copper_resistance_regulator/PCOS,0,2,0,12,0,0,4,0,0,0
MEG_2045/Metals/Copper_resistance/Copper_resistance_protein/COPC,0,12,0,0,0,0,0,0,0,0
MEG_4172/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKD,0,0,2,6,0,0,0,0,4,2
MEG_7863/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/ZRAS,0,0,0,0,0,0,0,0,3,0
MEG_7850/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZIPB,0,0,0,18,0,0,0,0,0,0
MEG_6626/Drugs/Sulfonamides/Sulfonamide_resistant_dihydropteroate_synthases/SULII,14,7,16,2,12,11,19,23,1,19
MEG_6646/Biocides/Multi_biocide_resistance/Multi_biocide_RND_efflux_pump/TBTB,0,0,0,46,0,0,0,0,0,0
MEG_8252/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1151,512,931,1338,783,1285,1039,575,1283,1050
MEG_7086/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETH,32,42,82,44,39,10,32,80,25,49
MEG_8649/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,12,0,0,4,0,0,6,0,0,0
MEG_4345/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,23,0,54,0,10,0,6,18,22
MEG_7185/Drugs/Tetracyclines/Tetracycline_transcriptional_repressor/TETR/RequiresSNPConfirmation,6,9,17,21,16,25,26,2,27,2
MEG_1281/Drugs/betalactams/Class_C_betalactamases/BLAEC,0,0,0,0,0,0,0,0,2,0
MEG_6905/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_5330/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,0,0,67,0,0,0,0,0,0
MEG_4012/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODC,0,11,9,31,0,10,4,15,29,0
MEG_7306/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,45,57,65,60,114,64,46,48,72,74
MEG_4060/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/MREA,0,0,0,0,0,0,0,0,18,0
MEG_5772/Biocides/Peroxide_resistance/peroxide_resistance_regulator/PERR,0,0,0,14,0,0,16,16,0,0
MEG_8154/Drugs/Spiropyrimidinetriones/Zoliflodacin_resistant_DNA_topoisomerases/GYRBZ/RequiresSNPConfirmation,131,83,126,190,163,224,158,113,94,149
MEG_6176/Drugs/Multi_drug_resistance/Multi_drug_RND_efflux_pumps/SDIA,0,40,0,14,17,0,0,27,25,30
MEG_6835/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_6499/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/SILA,0,92,38,197,0,29,24,74,13,14
MEG_3216/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,35,62,0,0,0,0,27,0
MEG_2453/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/CUSS,0,0,0,17,0,0,6,8,28,0
MEG_8249/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,9521,7585,11574,15362,9072,11185,10992,10738,11353,9808
MEG_8288/Drugs/betalactams/Mutant_porin_proteins/OMPA,0,83,38,176,24,37,70,66,147,62
MEG_6106/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,203,236,241,1208,254,434,290,266,238,324
MEG_6883/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,2,0,2,0,0,2,0
MEG_4365/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,5,0,0,0,0,0,0
MEG_8250/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,989,504,919,1229,685,1112,1111,522,1145,1010
MEG_8146/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,14,0,22,0,5,17,12,9,0
MEG_2085/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORA,0,17,4,25,0,3,1,3,12,7
MEG_8023/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,5,0,0
MEG_3219/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,41,0,0,0,0,66,49,0,0,0
MEG_2441/Metals/Copper_resistance/Copper_resistance_protein/CUEP,0,0,0,0,0,0,0,8,0,0
MEG_4164/Metals/Sodium_resistance/Sodium_resistance_protein/NHAB,0,6,0,7,0,7,2,15,19,0
MEG_1161/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSCM,0,12,2,12,0,0,0,9,5,3
MEG_2676/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,2,0,3,0,0,4,1,2,0
MEG_5367/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,132,62,0,90,86,96,80,84,104,0
MEG_2090/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/CORC,18,20,31,51,13,33,32,14,21,6
MEG_2993/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,2,0,0,0,0,0,0
MEG_7/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,3402,1935,2761,4459,3146,4760,3495,2275,3154,3080
MEG_1607/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATB/RequiresSNPConfirmation,0,0,0,0,0,0,10,0,0,0
MEG_8634/Drugs/Lipopeptides/Colistin_resistant_mutant/PMRAR/RequiresSNPConfirmation,0,0,0,3,0,2,0,8,22,4
MEG_1087/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH6,0,2,14,5,2,6,4,3,6,11
MEG_3984/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,308,137,258,322,347,307,271,250,215,229
MEG_5337/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,64,22,62,84,61,82,65,76,85,59
MEG_6871/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,0,0,2,0,0
MEG_6112/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,58,54,52,86,96,98,81,81,75,64
MEG_2448/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_pumps/CUSC,0,0,0,0,0,0,9,13,9,0
MEG_7219/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,3,0,0,2,0,0,0,0,0,2
MEG_7902/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,0,0,0,0,0,8,0,0
MEG_2121/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,4,28,6,41,0,4,18,16,39,13
MEG_2730/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRD,0,29,0,55,0,0,13,23,50,15
MEG_3545/Drugs/betalactams/Class_A_betalactamases/LEN,0,0,0,4,0,0,0,0,0,0
MEG_3206/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,277,132,184,337,390,370,196,236,269,223
MEG_1834/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,6,0,0,0,0,0,0
MEG_3764/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTO,0,0,0,0,0,0,12,0,41,0
MEG_8100/Drugs/Fusidic_acid/Fusidic_acid_resistant_mutation/FUSA/RequiresSNPConfirmation,316,234,309,422,331,488,370,289,356,323
MEG_6145/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/RRSA/RequiresSNPConfirmation,768,566,784,1140,1078,1168,798,844,636,711
MEG_3969/Drugs/betalactams/Class_C_betalactamases/MIR,0,0,0,2,0,0,0,0,0,0
MEG_4174/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKE,0,0,0,0,0,0,18,0,16,0
MEG_4223/Drugs/Oxazolidinone/Oxazolidinone_resistant_23S_rRNA_mutation/O23S/RequiresSNPConfirmation,5439,3579,4466,8954,6345,8432,5669,5159,4419,4854
MEG_4351/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,4,0,0,0,0,0,0
MEG_8069/Drugs/Trimethoprim/Dihydrofolate_reductase/DFRA,8,0,0,0,0,0,0,0,0,0
MEG_6118/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,165,166,163,707,199,304,256,190,167,195
MEG_7070/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,536,478,746,800,589,762,691,560,642,648
MEG_2998/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,0,0,23,0,21,9,0
MEG_1144/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSA,4,11,0,32,0,0,0,29,4,0
MEG_2714/Biocides/QACs_resistance/QAC_efflux_pump/EMEA,0,0,0,62,0,76,42,0,0,0
MEG_8093/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSM,0,0,0,0,0,0,0,0,0,8
MEG_5295/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,0,2,0
MEG_3987/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,145,106,107,90,79,163,140,70,164,93
MEG_6513/Multi_compound/Biocide_and_metal_resistance/Biocide_and_metal_ABC_efflux_pumps/SITA,0,21,0,20,0,0,0,4,5,5
MEG_2124/Metals/Copper_resistance/Copper_resistance_protein/CRDA,6,0,8,8,10,0,0,10,0,0
MEG_2725/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRB,0,23,15,74,10,14,11,42,30,21
MEG_2794/Drugs/MLS/23S_rRNA_methyltransferases/ERMB,0,0,9,0,9,26,3,12,2,12
MEG_1190/Drugs/Bacitracin/Undecaprenyl_pyrophosphate_phosphatase/BACA,0,19,5,45,1,0,8,17,10,8
MEG_7853/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ZNTA,0,25,18,87,0,15,12,71,82,37
MEG_6927/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,11,4
MEG_7976/Drugs/Lipopeptides/Colistin_phosphoethanolamine_transferase/ARNT,0,88,65,149,0,49,0,56,65,46
MEG_7315/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,128,104,186,187,146,209,158,140,195,122
MEG_7043/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,143,89,142,210,125,164,154,132,145,144
MEG_6114/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,187,119,122,207,157,170,128,107,131,146
MEG_6015/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRE,0,14,0,4,0,0,0,0,0,4
MEG_5418/Metals/Copper_resistance/Copper_resistance_protein/PCOB,0,0,0,0,0,0,0,0,0,2
MEG_2118/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_regulator/CPXAR,2,8,6,20,0,0,4,2,8,8
MEG_2455/Metals/Copper_resistance/Copper_resistance_protein/CUTC,0,0,0,0,0,0,8,24,7,0
MEG_1287/Drugs/betalactams/Penicillin_binding_protein_regulator/BLAI,0,0,0,0,6,0,0,0,0,0
MEG_7042/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETB,195,167,270,276,223,293,267,207,231,220
MEG_4279/Drugs/betalactams/Mutant_porin_proteins/OMP36/RequiresSNPConfirmation,0,3,7,19,0,3,0,7,8,0
MEG_4168/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKB,0,4,0,19,0,0,4,6,28,10
MEG_3756/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/MDTI,0,0,0,0,0,0,2,0,8,1
MEG_4348/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,17,0,32,0,0,0,0,0,0
MEG_3077/Biocides/Acid_resistance/Acid_resistance_protein/GADA,0,0,0,0,0,0,0,0,0,2
MEG_8447/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,25,22,39,0,30,0,19,21,16
MEG_2430/Drugs/betalactams/Class_A_betalactamases/CTX,0,0,17,12,4,0,6,0,0,0
MEG_447/Drugs/betalactams/Class_C_betalactamases/ACT,0,0,2,0,0,0,0,0,0,0
MEG_3752/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MDTF,0,0,30,0,0,0,31,30,69,16
MEG_3739/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/MDFA,0,0,7,0,0,0,0,13,14,0
MEG_4344/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,8,18,0,0,0,8,0,0
MEG_7067/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,6,6,10,16,8,23,9,5,31,2
MEG_2995/Drugs/Fosfomycin/Fosfomycin_thiol_transferases/FOSA,0,0,0,2,0,0,0,0,0,0
MEG_7817/Biocides/Paraquat_resistance/Paraquat_efflux_pump/YDDG,0,0,0,15,0,0,0,12,18,0
MEG_6122/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,33,30,39,59,41,63,37,31,64,60
MEG_2672/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/DSBA,0,0,2,0,2,0,0,0,2,0
MEG_8378/Drugs/betalactams/Class_D_betalactamases/OXA,0,0,9,0,0,0,0,0,0,5
MEG_1915/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,2,0,4,0,0
MEG_6125/Drugs/Rifampin/Rifampin_resistant_beta_subunit_of_RNA_polymerase_RpoB/RPOB/RequiresSNPConfirmation,283,153,202,342,216,363,332,169,296,244
MEG_460/Drugs/betalactams/Class_C_betalactamases/ACT,0,5,4,8,0,2,2,0,2,0
MEG_7472/Drugs/Glycopeptides/VanC_type_regulator/VANRC,0,0,0,0,16,28,0,0,0,0
MEG_3200/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,173,38,68,575,152,167,101,125,105,88
MEG_7557/Drugs/Glycopeptides/VanA_type_resistance_protein/VANXA,0,0,0,0,0,0,0,0,1,0
MEG_8650/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_SMR_efflux_pumps/QACH,0,0,13,0,0,0,19,0,0,0
MEG_763/Drugs/Aminoglycosides/Aminoglycoside_O_nucleotidyltransferases/ANT3_DPRIME,0,0,0,0,0,0,3,0,0,0
MEG_7304/Drugs/Elfamycins/EF_Tu_inhibition/TUFAB/RequiresSNPConfirmation,0,0,10,26,0,15,0,15,0,14
MEG_7898/Drugs/betalactams/Class_C_betalactamases/ACT,0,3,0,2,0,0,0,0,0,4
MEG_7900/Drugs/betalactams/Class_C_betalactamases/ACT,0,2,0,1,0,0,0,1,0,0
MEG_3946/Metals/Multi_metal_resistance/Multi_metal_resistance_regulator/MGTA,0,59,0,124,0,32,0,94,42,49
MEG_4167/Metals/Nickel_resistance/Nickel_ABC_efflux_pumps/NIKA,10,0,0,12,0,14,15,0,34,6
MEG_1045/Drugs/Aminoglycosides/Aminoglycoside_O_phosphotransferases/APH3_DPRIME,7,4,19,5,0,3,10,1,4,10
MEG_4195/Metals/Nickel_resistance/Nickel_resistance_protein/NIRA,0,0,0,0,0,0,4,0,0,0
MEG_6895/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,4,0,0,0,0,0,0
MEG_5973/Drugs/Fluoroquinolones/Quinolone_resistance_protein_Qnr/QNRB,0,0,0,0,0,1,0,0,0,0
MEG_6740/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,0,0
MEG_1722/Metals/Copper_resistance/Copper_resistance_protein/CINA,0,0,0,0,0,0,0,0,0,12
MEG_3983/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,1851,0,2193,2289,2805,2410,2530,1941,2016,2258
MEG_407/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/ACRD,0,33,12,51,0,7,20,25,38,31
MEG_3078/Biocides/Acid_resistance/Acid_resistance_protein/GADB,0,0,0,0,0,0,10,0,9,3
MEG_4/Drugs/Aminoglycosides/Aminoglycoside_resistant_16S_ribosomal_subunit_protein/A16S/RequiresSNPConfirmation,2219,1458,1770,2424,2129,3368,2245,1739,2049,2181
MEG_3748/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTB,0,43,18,108,0,33,18,45,49,35
MEG_1592/Drugs/Phenicol/Chloramphenicol_acetyltransferases/CATA,0,0,0,0,0,0,0,3,0,0
MEG_3189/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,42,20,96,0,19,40,24,38,37
MEG_7288/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/TTGB,0,0,0,38,0,0,0,0,0,0
MEG_6919/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,2,0,0,0,0,0,0,0
MEG_3749/Multi_compound/Drug_and_biocide_and_metal_resistance/Drug_and_biocide_and_metal_RND_efflux_pumps/MDTC,0,77,24,200,15,66,57,67,84,91
MEG_3981/Drugs/MLS/Macrolide_resistant_23S_rRNA_mutation/MLS23S/RequiresSNPConfirmation,365,124,1137,169,656,552,1462,1249,1287,460
MEG_5814/Metals/Arsenic_resistance/Arsenic_resistance_protein/PSTB,0,100,23,149,22,43,19,52,59,68
MEG_8153/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRB/RequiresSNPConfirmation,0,0,74,90,99,0,0,0,40,0
MEG_7069/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETD,0,0,0,2,12,3,0,0,0,0
MEG_8272/Drugs/Metronidazole/nim_nitroimidazole_reductase/NIMK,0,6,0,0,0,0,0,0,0,12
MEG_4006/Metals/Multi_metal_resistance/Multi_metal_ABC_efflux_pumps/MODB,0,6,0,5,0,2,6,1,6,0
MEG_6543/Biocides/Peroxide_resistance/peroxide_resistance_protein/SODA,0,0,1,10,0,0,0,0,4,3
MEG_7905/Drugs/betalactams/Class_C_betalactamases/ACT,0,7,0,14,0,0,0,13,0,0
MEG_1491/Drugs/Multi_drug_resistance/Multi_drug_ABC_efflux_pumps/CARA,0,0,0,60,48,0,0,0,0,0
MEG_3187/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,20,12,0,17,14,17,28,20
MEG_1153/Metals/Multi_metal_resistance/Multi_metal_resistance_protein/ARSBM,0,15,0,68,3,3,9,9,17,5
MEG_6144/Drugs/Aminoglycosides/Aminoglycoside_resistant_30S_ribosomal_protein_S12/RPSL/RequiresSNPConfirmation,76,30,52,97,90,77,46,82,47,55
MEG_6940/Drugs/betalactams/Class_A_betalactamases/TEM,0,0,0,0,0,2,0,0,2,2
MEG_7212/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETW,8,0,24,10,26,16,6,10,18,17
MEG_5296/Drugs/betalactams/Class_A_betalactamases/OXY,0,0,0,0,0,0,0,0,1,0
MEG_729/Drugs/betalactams/Penicillin_binding_protein/AMPH,0,11,6,33,0,0,13,13,16,10
MEG_2722/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_MFS_efflux_pumps/EMRA,0,3,10,26,0,14,11,18,35,11
MEG_7062/Drugs/Tetracyclines/Tetracycline_resistance_MFS_efflux_pumps/TETC,4,8,7,11,9,17,27,8,49,5
MEG_6524/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/SME,0,0,0,0,0,4,0,0,0,0
MEG_6056/Metals/Copper_resistance/Copper_resistance_regulator/RICR,0,0,1,0,0,0,0,0,0,0
MEG_4361/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,0,0,12,0,0,0,0,0,0
MEG_3245/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/GYRBA/RequiresSNPConfirmation,153,138,202,269,204,258,213,194,155,193
MEG_3217/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,109,33,111,147,77,124,118,67,110,157
MEG_5374/Drugs/Aminocoumarins/Aminocoumarin_resistant_DNA_topoisomerases/PARE/RequiresSNPConfirmation,0,79,44,170,12,27,31,69,37,51
MEG_3901/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/MEXB,0,0,8,34,0,0,0,0,16,0
MEG_7121/Drugs/Tetracyclines/Tetracycline_resistance_ribosomal_protection_proteins/TETM,46,33,81,68,67,140,76,66,43,76
MEG_4336/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,12,0,20,0,0,0,0,0,6
MEG_1925/Drugs/betalactams/Class_C_betalactamases/CMY,0,0,0,0,0,0,0,2,0,0
MEG_8446/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/PARC/RequiresSNPConfirmation,0,17,8,26,0,13,18,20,12,18
MEG_3212/Drugs/Fluoroquinolones/Fluoroquinolone_resistant_DNA_topoisomerases/GYRA/RequiresSNPConfirmation,0,0,46,76,0,0,0,0,37,45
MEG_2654/Metals/Copper_resistance/Copper_resistance_protein/DNAK,119,60,77,135,144,173,132,70,107,110
MEG_2458/Metals/Copper_resistance/Copper_resistance_protein/CUTF,0,10,2,3,0,2,9,3,13,0
MEG_7876/Drugs/Aminoglycosides/Aminoglycoside_N_acetyltransferases/AAC6_PRIME,0,0,0,0,0,0,1,0,0,0
MEG_6510/Metals/Multi_metal_resistance/Multi_metal_RND_efflux_regulator/SILS,0,18,5,32,0,0,0,14,0,0
MEG_4362/Multi_compound/Drug_and_biocide_resistance/Drug_and_biocide_RND_efflux_pumps/OQXB,0,3,0,5,0,0,0,0,0,0
